"","population","family","body","sub","mid","ilab","slab","post"
"291","INLAND","911",165,78,21,20,16,6
"292","INLAND","911",166,80,21,19,16,6
"293","INLAND","911",166,80,21,20,16,7
"294","INLAND","911",166,86,21,20,16,6
"295","INLAND","911",168,82,21,20,16,5
"296","INLAND","911",168,83,21,20,16,6
"297","INLAND","911",172,82,21,20,16,6
"298","INLAND","916",170,76,19,19,16,7
"299","INLAND","916",164,80,21,20,16,7
"300","INLAND","916",164,80,21,20,16,6
"301","INLAND","916",163,75,21,19,15,6
"302","INLAND","918",162,76,19,20,16,6
"303","INLAND","918",159,88,21,20,11,6
"304","INLAND","918",160,86,21,20,14,6
"305","INLAND","918",164,77,21,19,14,6
"306","INLAND","920",173,80,19,20,16,6
"307","INLAND","920",NA,77,19,20,15,6
"308","INLAND","920",159,75,19,20,16,6
"309","INLAND","920",165,86,19,19,16,5
"310","INLAND","920",165,79,19,20,16,4
"311","INLAND","920",166,87,21,20,16,6
"312","INLAND","920",167,81,19,20,16,5
"313","INLAND","924",174,77,21,19,16,7
"314","INLAND","924",162,82,21,20,18,6
"315","INLAND","924",164,82,21,21,16,6
"316","INLAND","924",167,75,21,20,16,7
"317","INLAND","924",167,83,21,20,16,6
"318","INLAND","924",168,80,21,20,16,6
"319","INLAND","924",168,82,21,20,16,6
"320","INLAND","924",170,72,21,20,16,5
"321","INLAND","924",170,76,19,20,16,6
"322","INLAND","929",161,83,19,20,16,6
"323","INLAND","934",171,78,21,20,16,6
"324","INLAND","934",166,76,21,20,16,5
"325","INLAND","939",166,80,19,21,16,7
"326","INLAND","939",NA,74,19,20,16,4
"327","INLAND","939",NA,79,21,19,15,6
"328","INLAND","939",161,78,21,20,16,3
"329","INLAND","939",161,80,21,20,16,6
"330","INLAND","939",165,85,21,21,16,6
"331","INLAND","939",166,79,21,20,17,4
"332","INLAND","939",164,79,21,20,16,6
"333","INLAND","939",168,79,21,20,15,6
"334","INLAND","939",171,92,19,20,13,6
"335","INLAND","940",167,84,19,20,16,7
"336","INLAND","940",NA,80,21,20,16,8
"337","INLAND","947",168,85,21,20,15,5
"338","INLAND","947",NA,NA,NA,18,16,5
"339","INLAND","976",163,73,19,20,15,7
"340","INLAND","976",NA,NA,21,20,13,6
"341","INLAND","976",165,79,21,20,14,6
"342","INLAND","976",167,79,19,20,16,6
"343","INLAND","976",168,82,21,20,16,6
"344","INLAND","976",170,80,21,19,16,6
"345","INLAND","976",172,82,21,20,16,4
"346","INLAND","986",165,80,21,20,16,6
"347","INLAND","986",165,76,21,20,16,6
"348","INLAND","986",165,81,19,21,17,6
"349","INLAND","986",167,75,19,20,16,6
"350","INLAND","986",167,76,21,20,16,6
"351","INLAND","986",167,84,21,20,16,6
"352","INLAND","986",168,74,21,20,16,6
"353","INLAND","987",165,NA,21,20,16,7
"354","INLAND","987",162,80,21,20,11,6
"355","INLAND","987",164,79,19,20,12,6
"356","INLAND","987",166,80,19,20,NA,6
"357","INLAND","987",166,80,21,20,NA,6
"358","INLAND","998",171,84,19,20,16,6
"359","INLAND","998",167,89,19,20,16,6
"360","INLAND","998",168,79,21,20,16,4
"361","INLAND","1004",166,75,19,20,16,7
"362","INLAND","1004",170,78,19,20,16,4
"363","INLAND","1004",170,83,19,20,16,6
